query_sequence	go_id	go_term	category
MSTRG.18948.1	GO:0043412	macromolecule modification	biological_process
MSTRG.18948.1	GO:0044237	cellular metabolic process	biological_process
MSTRG.18948.1	GO:0044238	primary metabolic process	biological_process
MSTRG.18948.1	GO:0044260	obsolete cellular macromolecule metabolic process	biological_process
MSTRG.18948.1	GO:0044422	obsolete organelle part	cellular_component
MSTRG.18948.1	GO:0044424	obsolete intracellular part	cellular_component
MSTRG.18948.1	GO:0044434	obsolete chloroplast part	cellular_component
MSTRG.18948.1	GO:0044435	obsolete plastid part	cellular_component
MSTRG.18948.1	GO:0044444	obsolete cytoplasmic part	cellular_component
MSTRG.18948.1	GO:0044446	obsolete intracellular organelle part	cellular_component
MSTRG.18948.1	GO:0044464	obsolete cell part	cellular_component
MSTRG.18948.1	GO:0046686	response to cadmium ion	biological_process
MSTRG.18948.1	GO:0048046	apoplast	cellular_component
MSTRG.18948.1	GO:0050896	response to stimulus	biological_process
MSTRG.18948.1	GO:0071704	organic substance metabolic process	biological_process
MSTRG.18948.1	GO:0071944	cell periphery	cellular_component
MSTRG.18948.1	GO:0140096	catalytic activity, acting on a protein	molecular_function
MSTRG.18948.1	GO:1901564	organonitrogen compound metabolic process	biological_process
MSTRG.18948.1	GO:1901576	organic substance biosynthetic process	biological_process
MSTRG.20117.1	GO:0005886	plasma membrane	cellular_component
MSTRG.20117.1	GO:0015173	aromatic amino acid transmembrane transporter activity	molecular_function
MSTRG.20117.1	GO:0015293	symporter activity	molecular_function
MSTRG.18843.1	GO:0003674	molecular_function	molecular_function
MSTRG.18843.1	GO:0003824	catalytic activity	molecular_function
MSTRG.18843.1	GO:0005575	cellular_component	cellular_component
MSTRG.18843.1	GO:0005622	intracellular anatomical structure	cellular_component
MSTRG.18843.1	GO:0005623	obsolete cell	cellular_component
MSTRG.18843.1	GO:0005737	cytoplasm	cellular_component
MSTRG.18843.1	GO:0005829	cytosol	cellular_component
MSTRG.18843.1	GO:0006082	organic acid metabolic process	biological_process
MSTRG.18843.1	GO:0006520	amino acid metabolic process	biological_process
MSTRG.18843.1	GO:0006553	lysine metabolic process	biological_process
MSTRG.18843.1	GO:0006807	nitrogen compound metabolic process	biological_process
MSTRG.18843.1	GO:0008150	biological_process	biological_process
MSTRG.18843.1	GO:0008152	metabolic process	biological_process
MSTRG.18843.1	GO:0008652	amino acid biosynthetic process	biological_process
MSTRG.18843.1	GO:0008837	diaminopimelate epimerase activity	molecular_function
MSTRG.18843.1	GO:0009058	biosynthetic process	biological_process
MSTRG.18843.1	GO:0009066	aspartate family amino acid metabolic process	biological_process
MSTRG.18843.1	GO:0009067	aspartate family amino acid biosynthetic process	biological_process
MSTRG.18843.1	GO:0009085	lysine biosynthetic process	biological_process
MSTRG.18843.1	GO:0009089	lysine biosynthetic process via diaminopimelate	biological_process
MSTRG.18843.1	GO:0009507	chloroplast	cellular_component
MSTRG.18843.1	GO:0009532	plastid stroma	cellular_component
MSTRG.18843.1	GO:0009536	plastid	cellular_component
MSTRG.18843.1	GO:0009570	chloroplast stroma	cellular_component
MSTRG.18843.1	GO:0009987	cellular process	biological_process
MSTRG.18843.1	GO:0016053	organic acid biosynthetic process	biological_process
MSTRG.18843.1	GO:0016853	isomerase activity	molecular_function
MSTRG.18843.1	GO:0016854	racemase and epimerase activity	molecular_function
MSTRG.18843.1	GO:0016855	racemase and epimerase activity, acting on amino acids and derivatives	molecular_function
MSTRG.18843.1	GO:0019752	carboxylic acid metabolic process	biological_process
MSTRG.18843.1	GO:0036361	racemase activity, acting on amino acids and derivatives	molecular_function
MSTRG.18843.1	GO:0043226	organelle	cellular_component
MSTRG.18843.1	GO:0043227	membrane-bounded organelle	cellular_component
MSTRG.18843.1	GO:0043229	intracellular organelle	cellular_component
MSTRG.18843.1	GO:0043231	intracellular membrane-bounded organelle	cellular_component
MSTRG.18843.1	GO:0043436	oxoacid metabolic process	biological_process
MSTRG.18843.1	GO:0043648	dicarboxylic acid metabolic process	biological_process
MSTRG.18843.1	GO:0044237	cellular metabolic process	biological_process
MSTRG.18843.1	GO:0044238	primary metabolic process	biological_process
MSTRG.18843.1	GO:0044249	cellular biosynthetic process	biological_process
MSTRG.18843.1	GO:0044281	small molecule metabolic process	biological_process
MSTRG.18843.1	GO:0044283	small molecule biosynthetic process	biological_process
MSTRG.18843.1	GO:0044422	obsolete organelle part	cellular_component
MSTRG.18843.1	GO:0044424	obsolete intracellular part	cellular_component
MSTRG.18843.1	GO:0044434	obsolete chloroplast part	cellular_component
MSTRG.18843.1	GO:0044435	obsolete plastid part	cellular_component
MSTRG.18843.1	GO:0044444	obsolete cytoplasmic part	cellular_component
MSTRG.18843.1	GO:0044446	obsolete intracellular organelle part	cellular_component
MSTRG.18843.1	GO:0044464	obsolete cell part	cellular_component
MSTRG.18843.1	GO:0046394	carboxylic acid biosynthetic process	biological_process
MSTRG.18843.1	GO:0046451	diaminopimelate metabolic process	biological_process
MSTRG.18843.1	GO:0047661	amino-acid racemase activity	molecular_function
MSTRG.18843.1	GO:0071704	organic substance metabolic process	biological_process
MSTRG.18843.1	GO:1901564	organonitrogen compound metabolic process	biological_process
MSTRG.18843.1	GO:1901566	organonitrogen compound biosynthetic process	biological_process
MSTRG.18843.1	GO:1901576	organic substance biosynthetic process	biological_process
MSTRG.18843.1	GO:1901605	alpha-amino acid metabolic process	biological_process
MSTRG.18843.1	GO:1901607	alpha-amino acid biosynthetic process	biological_process
MSTRG.19548.2	GO:0005506	iron ion binding	molecular_function
MSTRG.19548.2	GO:0009055	electron transfer activity	molecular_function
MSTRG.19548.2	GO:0015979	photosynthesis	biological_process
MSTRG.19548.2	GO:0020037	heme binding	molecular_function
MSTRG.19548.2	GO:0031979	plasma membrane-derived thylakoid lumen	cellular_component
MSTRG.18953.1	GO:0003674	molecular_function	molecular_function
MSTRG.18953.1	GO:0003824	catalytic activity	molecular_function
MSTRG.18953.1	GO:0004618	phosphoglycerate kinase activity	molecular_function
MSTRG.18953.1	GO:0004672	protein kinase activity	molecular_function
MSTRG.18953.1	GO:0005524	ATP binding	molecular_function
MSTRG.18953.1	GO:0005575	cellular_component	cellular_component
MSTRG.18953.1	GO:0005576	extracellular region	cellular_component
MSTRG.18953.1	GO:0005618	cell wall	cellular_component
MSTRG.18953.1	GO:0005622	intracellular anatomical structure	cellular_component
MSTRG.18953.1	GO:0005623	obsolete cell	cellular_component
MSTRG.18953.1	GO:0005634	nucleus	cellular_component
MSTRG.18953.1	GO:0005737	cytoplasm	cellular_component
MSTRG.18953.1	GO:0005739	mitochondrion	cellular_component
MSTRG.18953.1	GO:0005829	cytosol	cellular_component
MSTRG.18953.1	GO:0005975	carbohydrate metabolic process	biological_process
MSTRG.18953.1	GO:0006096	glycolytic process	biological_process
MSTRG.18953.1	GO:0006468	protein phosphorylation	biological_process
MSTRG.18953.1	GO:0006793	phosphorus metabolic process	biological_process
MSTRG.18953.1	GO:0006796	phosphate-containing compound metabolic process	biological_process
MSTRG.18953.1	GO:0006807	nitrogen compound metabolic process	biological_process
MSTRG.18953.1	GO:0006950	response to stress	biological_process
MSTRG.18953.1	GO:0008150	biological_process	biological_process
MSTRG.18953.1	GO:0008152	metabolic process	biological_process
MSTRG.18953.1	GO:0009058	biosynthetic process	biological_process
MSTRG.18953.1	GO:0009266	response to temperature stimulus	biological_process
MSTRG.18953.1	GO:0009409	response to cold	biological_process
MSTRG.18953.1	GO:0009507	chloroplast	cellular_component
MSTRG.18953.1	GO:0009526	plastid envelope	cellular_component
MSTRG.18953.1	GO:0009532	plastid stroma	cellular_component
MSTRG.18953.1	GO:0009536	plastid	cellular_component
MSTRG.18953.1	GO:0009570	chloroplast stroma	cellular_component
MSTRG.18953.1	GO:0009579	thylakoid	cellular_component
MSTRG.18953.1	GO:0009628	response to abiotic stimulus	biological_process
MSTRG.18953.1	GO:0009941	chloroplast envelope	cellular_component
MSTRG.18953.1	GO:0009987	cellular process	biological_process
MSTRG.18953.1	GO:0010035	response to inorganic substance	biological_process
MSTRG.18953.1	GO:0010038	response to metal ion	biological_process
MSTRG.18953.1	GO:0010319	stromule	cellular_component
MSTRG.18953.1	GO:0015977	carbon fixation	biological_process
MSTRG.18953.1	GO:0015979	photosynthesis	biological_process
MSTRG.18953.1	GO:0016020	membrane	cellular_component
MSTRG.18953.1	GO:0016051	carbohydrate biosynthetic process	biological_process
MSTRG.18953.1	GO:0016301	kinase activity	molecular_function
MSTRG.18953.1	GO:0016310	phosphorylation	biological_process
MSTRG.18953.1	GO:0016740	transferase activity	molecular_function
MSTRG.18953.1	GO:0016772	transferase activity, transferring phosphorus-containing groups	molecular_function
MSTRG.18953.1	GO:0016773	phosphotransferase activity, alcohol group as acceptor	molecular_function
MSTRG.18953.1	GO:0019253	reductive pentose-phosphate cycle	biological_process
MSTRG.18953.1	GO:0019538	protein metabolic process	biological_process
MSTRG.18953.1	GO:0019685	photosynthesis, dark reaction	biological_process
MSTRG.18953.1	GO:0030312	external encapsulating structure	cellular_component
MSTRG.18953.1	GO:0031967	organelle envelope	cellular_component
MSTRG.18953.1	GO:0031975	envelope	cellular_component
MSTRG.18953.1	GO:0036211	protein modification process	biological_process
MSTRG.18953.1	GO:0042221	response to chemical	biological_process
MSTRG.18953.1	GO:0043170	macromolecule metabolic process	biological_process
MSTRG.18953.1	GO:0043226	organelle	cellular_component
MSTRG.18953.1	GO:0043227	membrane-bounded organelle	cellular_component
MSTRG.18953.1	GO:0043229	intracellular organelle	cellular_component
MSTRG.18953.1	GO:0043231	intracellular membrane-bounded organelle	cellular_component
MSTRG.18953.1	GO:0043412	macromolecule modification	biological_process
MSTRG.18953.1	GO:0044237	cellular metabolic process	biological_process
MSTRG.18953.1	GO:0044238	primary metabolic process	biological_process
MSTRG.18953.1	GO:0044260	obsolete cellular macromolecule metabolic process	biological_process
MSTRG.18953.1	GO:0044422	obsolete organelle part	cellular_component
MSTRG.18953.1	GO:0044424	obsolete intracellular part	cellular_component
MSTRG.18953.1	GO:0044434	obsolete chloroplast part	cellular_component
MSTRG.18953.1	GO:0044435	obsolete plastid part	cellular_component
MSTRG.18953.1	GO:0044444	obsolete cytoplasmic part	cellular_component
MSTRG.18953.1	GO:0044446	obsolete intracellular organelle part	cellular_component
MSTRG.18953.1	GO:0044464	obsolete cell part	cellular_component
MSTRG.18953.1	GO:0046686	response to cadmium ion	biological_process
MSTRG.18953.1	GO:0048046	apoplast	cellular_component
MSTRG.18953.1	GO:0050896	response to stimulus	biological_process
MSTRG.18953.1	GO:0071704	organic substance metabolic process	biological_process
MSTRG.18953.1	GO:0071944	cell periphery	cellular_component
MSTRG.18953.1	GO:0140096	catalytic activity, acting on a protein	molecular_function
MSTRG.18953.1	GO:1901564	organonitrogen compound metabolic process	biological_process
MSTRG.18953.1	GO:1901576	organic substance biosynthetic process	biological_process
MSTRG.18600.1	GO:0003746	translation elongation factor activity	molecular_function
MSTRG.18600.1	GO:0005737	cytoplasm	cellular_component
MSTRG.18981.1	GO:0003735	structural constituent of ribosome	molecular_function
MSTRG.18981.1	GO:0005840	ribosome	cellular_component
MSTRG.18981.1	GO:0006412	translation	biological_process
MSTRG.18981.1	GO:0008097	5S rRNA binding	molecular_function
MSTRG.18981.1	GO:1990904	ribonucleoprotein complex	cellular_component
MSTRG.17766.1	GO:0001666	response to hypoxia	biological_process
MSTRG.17766.1	GO:0003674	molecular_function	molecular_function
MSTRG.17766.1	GO:0003824	catalytic activity	molecular_function
MSTRG.17766.1	GO:0004177	aminopeptidase activity	molecular_function
MSTRG.17766.1	GO:0005488	binding	molecular_function
MSTRG.17766.1	GO:0005575	cellular_component	cellular_component
MSTRG.17766.1	GO:0005622	intracellular anatomical structure	cellular_component
MSTRG.17766.1	GO:0005623	obsolete cell	cellular_component
MSTRG.17766.1	GO:0005737	cytoplasm	cellular_component
MSTRG.17766.1	GO:0005829	cytosol	cellular_component
MSTRG.17766.1	GO:0005886	plasma membrane	cellular_component
MSTRG.17766.1	GO:0006508	proteolysis	biological_process
MSTRG.17766.1	GO:0006518	peptide metabolic process	biological_process
MSTRG.17766.1	GO:0006807	nitrogen compound metabolic process	biological_process
MSTRG.17766.1	GO:0006810	transport	biological_process
MSTRG.17766.1	GO:0006950	response to stress	biological_process
MSTRG.17766.1	GO:0008144	obsolete drug binding	molecular_function
MSTRG.17766.1	GO:0008150	biological_process	biological_process
MSTRG.17766.1	GO:0008152	metabolic process	biological_process
MSTRG.17766.1	GO:0008233	peptidase activity	molecular_function
MSTRG.17766.1	GO:0008235	metalloexopeptidase activity	molecular_function
MSTRG.17766.1	GO:0008237	metallopeptidase activity	molecular_function
MSTRG.17766.1	GO:0008238	exopeptidase activity	molecular_function
MSTRG.17766.1	GO:0008270	zinc ion binding	molecular_function
MSTRG.17766.1	GO:0009056	catabolic process	biological_process
MSTRG.17766.1	GO:0009628	response to abiotic stimulus	biological_process
MSTRG.17766.1	GO:0009914	hormone transport	biological_process
MSTRG.17766.1	GO:0009926	auxin polar transport	biological_process
MSTRG.17766.1	GO:0009987	cellular process	biological_process
MSTRG.17766.1	GO:0010013	N-1-naphthylphthalamic acid binding	molecular_function
MSTRG.17766.1	GO:0010817	regulation of hormone levels	biological_process
MSTRG.17766.1	GO:0016020	membrane	cellular_component
MSTRG.17766.1	GO:0016787	hydrolase activity	molecular_function
MSTRG.17766.1	GO:0019538	protein metabolic process	biological_process
MSTRG.17766.1	GO:0031090	organelle membrane	cellular_component
MSTRG.17766.1	GO:0031406	carboxylic acid binding	molecular_function
MSTRG.17766.1	GO:0033218	amide binding	molecular_function
MSTRG.17766.1	GO:0033293	monocarboxylic acid binding	molecular_function
MSTRG.17766.1	GO:0033554	cellular response to stress	biological_process
MSTRG.17766.1	GO:0034641	cellular nitrogen compound metabolic process	biological_process
MSTRG.17766.1	GO:0036094	small molecule binding	molecular_function
MSTRG.17766.1	GO:0036293	response to decreased oxygen levels	biological_process
MSTRG.17766.1	GO:0036294	cellular response to decreased oxygen levels	biological_process
MSTRG.17766.1	GO:0042221	response to chemical	biological_process
MSTRG.17766.1	GO:0042277	peptide binding	molecular_function
MSTRG.17766.1	GO:0043167	ion binding	molecular_function
MSTRG.17766.1	GO:0043168	anion binding	molecular_function
MSTRG.17766.1	GO:0043169	cation binding	molecular_function
MSTRG.17766.1	GO:0043170	macromolecule metabolic process	biological_process
MSTRG.17766.1	GO:0043171	peptide catabolic process	biological_process
MSTRG.17766.1	GO:0043177	organic acid binding	molecular_function
MSTRG.17766.1	GO:0043226	organelle	cellular_component
MSTRG.17766.1	GO:0043227	membrane-bounded organelle	cellular_component
MSTRG.17766.1	GO:0043603	amide metabolic process	biological_process
MSTRG.17766.1	GO:0044237	cellular metabolic process	biological_process
MSTRG.17766.1	GO:0044238	primary metabolic process	biological_process
MSTRG.17766.1	GO:0044248	cellular catabolic process	biological_process
MSTRG.17766.1	GO:0044422	obsolete organelle part	cellular_component
MSTRG.17766.1	GO:0044424	obsolete intracellular part	cellular_component
MSTRG.17766.1	GO:0044444	obsolete cytoplasmic part	cellular_component
MSTRG.17766.1	GO:0044464	obsolete cell part	cellular_component
MSTRG.17766.1	GO:0046872	metal ion binding	molecular_function
MSTRG.17766.1	GO:0046914	transition metal ion binding	molecular_function
MSTRG.17766.1	GO:0050896	response to stimulus	biological_process
MSTRG.17766.1	GO:0051179	localization	biological_process
MSTRG.17766.1	GO:0051234	establishment of localization	biological_process
MSTRG.17766.1	GO:0051716	cellular response to stimulus	biological_process
MSTRG.17766.1	GO:0060918	auxin transport	biological_process
MSTRG.17766.1	GO:0065007	biological regulation	biological_process
MSTRG.17766.1	GO:0065008	regulation of biological quality	biological_process
MSTRG.17766.1	GO:0070006	metalloaminopeptidase activity	molecular_function
MSTRG.17766.1	GO:0070482	response to oxygen levels	biological_process
MSTRG.17766.1	GO:0070887	cellular response to chemical stimulus	biological_process
MSTRG.17766.1	GO:0071453	cellular response to oxygen levels	biological_process
MSTRG.17766.1	GO:0071456	cellular response to hypoxia	biological_process
MSTRG.17766.1	GO:0071704	organic substance metabolic process	biological_process
MSTRG.17766.1	GO:0071944	cell periphery	cellular_component
MSTRG.17766.1	GO:0097159	organic cyclic compound binding	molecular_function
MSTRG.17766.1	GO:0140096	catalytic activity, acting on a protein	molecular_function
MSTRG.17766.1	GO:1901564	organonitrogen compound metabolic process	biological_process
MSTRG.17766.1	GO:1901565	organonitrogen compound catabolic process	biological_process
MSTRG.17766.1	GO:1901575	organic substance catabolic process	biological_process
MSTRG.17838.1	GO:0003674	molecular_function	molecular_function
MSTRG.17838.1	GO:0003824	catalytic activity	molecular_function
MSTRG.17838.1	GO:0005488	binding	molecular_function
MSTRG.17838.1	GO:0005515	protein binding	molecular_function
MSTRG.17838.1	GO:0005575	cellular_component	cellular_component
MSTRG.17838.1	GO:0005622	intracellular anatomical structure	cellular_component
MSTRG.17838.1	GO:0005623	obsolete cell	cellular_component
MSTRG.17838.1	GO:0005737	cytoplasm	cellular_component
MSTRG.17838.1	GO:0005739	mitochondrion	cellular_component
MSTRG.17838.1	GO:0005740	mitochondrial envelope	cellular_component
MSTRG.17838.1	GO:0005741	mitochondrial outer membrane	cellular_component
MSTRG.17838.1	GO:0006139	nucleobase-containing compound metabolic process	biological_process
MSTRG.17838.1	GO:0006396	RNA processing	biological_process
MSTRG.17838.1	GO:0006399	tRNA metabolic process	biological_process
MSTRG.17838.1	GO:0006400	tRNA modification	biological_process
MSTRG.17838.1	GO:0006725	cellular aromatic compound metabolic process	biological_process
MSTRG.17838.1	GO:0006807	nitrogen compound metabolic process	biological_process
MSTRG.17838.1	GO:0008033	tRNA processing	biological_process
MSTRG.17838.1	GO:0008150	biological_process	biological_process
MSTRG.17838.1	GO:0008152	metabolic process	biological_process
MSTRG.17838.1	GO:0008479	tRNA-guanosine(34) queuine transglycosylase activity	molecular_function
MSTRG.17838.1	GO:0008616	queuosine biosynthetic process	biological_process
MSTRG.17838.1	GO:0009451	RNA modification	biological_process
MSTRG.17838.1	GO:0009987	cellular process	biological_process
MSTRG.17838.1	GO:0010467	gene expression	biological_process
MSTRG.17838.1	GO:0016020	membrane	cellular_component
MSTRG.17838.1	GO:0016070	RNA metabolic process	biological_process
MSTRG.17838.1	GO:0016740	transferase activity	molecular_function
MSTRG.17838.1	GO:0016757	glycosyltransferase activity	molecular_function
MSTRG.17838.1	GO:0016763	pentosyltransferase activity	molecular_function
MSTRG.17838.1	GO:0019867	outer membrane	cellular_component
MSTRG.17838.1	GO:0031090	organelle membrane	cellular_component
MSTRG.17838.1	GO:0031966	mitochondrial membrane	cellular_component
MSTRG.17838.1	GO:0031967	organelle envelope	cellular_component
MSTRG.17838.1	GO:0031968	organelle outer membrane	cellular_component
MSTRG.17838.1	GO:0031975	envelope	cellular_component
MSTRG.17838.1	GO:0032991	protein-containing complex	cellular_component
MSTRG.17838.1	GO:0034470	ncRNA processing	biological_process
MSTRG.17838.1	GO:0034641	cellular nitrogen compound metabolic process	biological_process
MSTRG.17838.1	GO:0034660	ncRNA metabolic process	biological_process
MSTRG.17838.1	GO:0042802	identical protein binding	molecular_function
MSTRG.17838.1	GO:0042803	protein homodimerization activity	molecular_function
MSTRG.17838.1	GO:0043170	macromolecule metabolic process	biological_process
